Nro. Docto;Item;Desc Item;Un Medida;Família Material;Descrição;Família Comercial;Descrição;Estab;Dep;Loc;Quantidade;Lote/Serie;Validade do Lote;Data Ult. Transf.;Usuario;Item Controle Qualidade;Hora do Movimento
2433088;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;QL2;;2;;?;01/03/2024;ana.amaral;Não;07:48:48
2433088;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;QLD;;1;;?;01/03/2024;ana.amaral;Não;07:48:49
63764;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;DV3;;5;;?;24/02/2024;salvador.jaq;Não;09:48:42
22070756;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;DAT;;4;;?;19/02/2024;thayane.eric;Não;06:26:56
560;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;EST;;1;;?;26/01/2024;farias.lucas;Não;08:55:24
7605;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;ESE;;4239;;?;29/02/2024;tarefa.auto;Não;14:57:08
TRANSF.JVL;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;ESN;;9;;?;27/02/2024;oriane.dias;Não;13:24:59
2337457;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;nc2;;1;;?;18/11/2023;loren.santos;Não;13:46:26
2550809;96051094;MICRO-ONDAS PMO28TF 127V;PC;50000;MICROONDAS;950154;PMO28TF;31;BEC;;13;;?;05/02/2024;isabela.heni;Não;16:39:27
2135348;96051097;MICRO-ONDAS PMO33EB 127V;PC;50000;MICROONDAS;950159;PMO33EB;31;QLD;;1;;?;26/04/2023;leidiane.rei;Não;19:18:16
QL2/EX3;96051097;MICRO-ONDAS PMO33EB 127V;PC;50000;MICROONDAS;950159;PMO33EB;31;QL2;;1;;?;21/12/2023;rodrigo.teix;Não;14:15:04
2428472;96051099;MICRO-ONDAS BMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950161;BMB26IEB;31;EX2;;488;;?;27/02/2024;evelin.rosa;Não;15:37:47
2392815;96051099;MICRO-ONDAS BMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950161;BMB26IEB;31;QL2;;2;;?;29/01/2024;alex.novak;Não;11:48:14
2392853;96051099;MICRO-ONDAS BMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950161;BMB26IEB;31;QLD;;4;;?;29/01/2024;alex.novak;Não;11:58:30
2428472;96051099;MICRO-ONDAS BMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950161;BMB26IEB;31;NC2;;7;;?;27/02/2024;evelin.rosa;Não;15:37:47
64568;96051116;MICRO-ONDAS PMO30EP 127V;PC;50000;MICROONDAS;950178;PMO30EP;31;AJT;;4;;?;29/02/2024;correa.ferna;Não;16:25:49
244724;96051116;MICRO-ONDAS PMO30EP 127V;PC;50000;MICROONDAS;950178;PMO30EP;31;EX2;;8;;?;29/02/2024;tarefa.auto;Não;21:09:15
ESNxESE;96051116;MICRO-ONDAS PMO30EP 127V;PC;50000;MICROONDAS;950178;PMO30EP;31;ESE;;2056;;?;23/02/2024;oriane.dias;Não;16:45:46
234567;96051122;MICRO-ONDAS BMO34EB 127V;PC;50000;MICROONDAS;950184;BMO34EB;31;QLD;;6;;?;07/11/2023;oliveira.sar;Não;13:22:01
